Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Bartholomew County, IN",18005,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,14,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,16,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,16,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,11,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,12,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,16,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,10,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,17,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,18,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,16,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,16,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,19,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,20,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,17,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,17,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,22,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 36 ending September 11, 2021 (provisional)",2021/36,20,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 37 ending September 18, 2021 (provisional)",2021/37,15,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,19,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 39 ending October 02, 2021 (provisional)",2021/39,22,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,14,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,17,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,23,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,14,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 44 ending November 06, 2021 (provisional)",2021/44,20,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 45 ending November 13, 2021 (provisional)",2021/45,14,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 46 ending November 20, 2021 (provisional)",2021/46,10,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,18,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,25,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 49 ending December 11, 2021 (provisional)",2021/49,17,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,20,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,21,Not Applicable,Not Applicable
,"Bartholomew County, IN",18005,"2021 Week 52 ending January 01, 2022 (provisional)",2021/52,21,Not Applicable,Not Applicable
,"Blackford County, IN",18009,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,10,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,19,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,21,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,11,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,19,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,17,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,21,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,15,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,13,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,16,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,13,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 31 ending August 07, 2021 (provisional)",2021/31,11,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,11,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,13,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 36 ending September 11, 2021 (provisional)",2021/36,16,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 37 ending September 18, 2021 (provisional)",2021/37,13,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,18,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 39 ending October 02, 2021 (provisional)",2021/39,18,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 45 ending November 13, 2021 (provisional)",2021/45,11,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 46 ending November 20, 2021 (provisional)",2021/46,15,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,18,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,14,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,12,Not Applicable,Not Applicable
,"Boone County, IN",18011,"2021 Week 52 ending January 01, 2022 (provisional)",2021/52,12,Not Applicable,Not Applicable
,"Carroll County, IN",18015,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,11,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,17,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,17,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,14,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,12,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,14,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,10,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,14,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,10,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,11,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,10,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,16,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,11,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,11,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 49 ending December 11, 2021 (provisional)",2021/49,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,13,Not Applicable,Not Applicable
,"Cass County, IN",18017,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,11,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,40,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,62,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,33,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,26,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,32,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,23,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,22,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,28,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,18,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,33,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,30,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,18,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,22,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,27,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,34,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,32,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,22,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,24,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,15,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,24,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,30,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,22,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,26,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,21,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,25,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,15,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,34,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,22,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,32,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,31,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 31 ending August 07, 2021 (provisional)",2021/31,28,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,30,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,43,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,36,Not Applicable,Not Applicable
,"Clark County, IN",18019,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,28,Not Applicable,Not Applicable
